                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70983,                  2.312,                 1.0293,                0.00837,                0.99422,                0.89496,                 0.7887,                0.39283,                 2.3224,                0.77708,                0.00016,                0.00016,                0.00016
                      2,                0.52486,                 1.0339,                0.92802,                0.99554,                 0.8815,                0.96227,                0.86853,                0.42197,                 1.0785,                0.77339,             0.00033663,             0.00033663,             0.00033663
                      3,                0.51223,                0.75082,                0.91214,                0.97831,                 0.8237,                0.92765,                0.83816,                0.44154,                0.98007,                0.77555,              0.0005097,              0.0005097,              0.0005097
                      4,                0.50794,                0.72396,                0.90825,                0.98615,                0.82319,                0.90123,                0.80241,                0.49225,                 0.9673,                0.80474,             0.00067921,             0.00067921,             0.00067921
                      5,                0.54255,                0.73358,                0.92047,                0.97396,                0.86994,                0.94507,                0.84662,                0.48959,                0.93087,                0.78668,             0.00084515,             0.00084515,             0.00084515
                      6,                0.55794,                0.71621,                0.92622,                0.94719,                0.82934,                0.92063,                0.82722,                0.51661,                0.95195,                0.81725,              0.0010075,              0.0010075,              0.0010075
                      7,                  0.548,                0.67823,                0.91647,                0.90204,                0.95811,                0.96685,                0.84478,                0.52602,                0.80166,                0.82198,              0.0011663,              0.0011663,              0.0011663
                      8,                0.55163,                0.64612,                0.91406,                0.94256,                0.94853,                 0.9826,                0.87085,                0.48674,                0.75568,                0.81445,              0.0013216,              0.0013216,              0.0013216
                      9,                0.55208,                0.64698,                0.91425,                0.98116,                0.88439,                0.98192,                0.90195,                0.42705,                0.67427,                0.78697,              0.0014733,              0.0014733,              0.0014733
                     10,                0.56835,                0.64185,                0.91967,                0.98868,                0.96243,                0.99043,                0.91235,                0.40495,                 0.6399,                0.77538,              0.0016214,              0.0016214,              0.0016214
                     11,                 0.5379,                0.61571,                0.91051,                0.87096,                0.89306,                0.95854,                0.85328,                0.48593,                0.73876,                0.79884,               0.001766,               0.001766,               0.001766
                     12,                0.54588,                0.61789,                0.90918,                0.99054,                0.98555,                0.99254,                0.89445,                0.47628,                0.54885,                0.80273,              0.0017822,              0.0017822,              0.0017822
                     13,                0.53319,                0.60394,                0.91641,                0.97554,                0.98266,                0.99036,                0.89771,                0.44081,                0.55185,                0.79341,              0.0017822,              0.0017822,              0.0017822
                     14,                0.52466,                0.59363,                0.90809,                0.95597,                 0.9711,                0.98626,                0.89326,                 0.4335,                0.56388,                0.79328,              0.0017624,              0.0017624,              0.0017624
                     15,                0.52683,                0.57931,                0.90356,                0.94589,                0.95989,                  0.986,                0.89904,                0.46065,                0.61406,                0.80231,              0.0017426,              0.0017426,              0.0017426
                     16,                0.54982,                 0.5743,                0.92812,                0.93341,                0.93185,                0.96719,                0.85498,                0.53161,                0.71164,                0.83986,              0.0017228,              0.0017228,              0.0017228
                     17,                0.50724,                0.53353,                0.89798,                0.83426,                0.93107,                0.93991,                0.81699,                0.55686,                0.76967,                0.84609,               0.001703,               0.001703,               0.001703
                     18,                0.52116,                0.54076,                0.90574,                0.91547,                0.90777,                0.96436,                0.85654,                0.53642,                0.68458,                0.83849,              0.0016832,              0.0016832,              0.0016832
                     19,                0.50318,                0.52145,                0.89589,                0.97665,                0.96692,                0.98858,                0.90526,                0.45245,                0.52812,                0.79453,              0.0016634,              0.0016634,              0.0016634
                     20,                0.48729,                0.50461,                0.89146,                0.99411,                0.97609,                0.99355,                0.91815,                 0.4263,                0.49423,                0.78327,              0.0016436,              0.0016436,              0.0016436
                     21,                0.49086,                0.49574,                0.89996,                0.98836,                0.98133,                0.99099,                0.92149,                0.39306,                0.45608,                0.77936,              0.0016238,              0.0016238,              0.0016238
                     22,                0.49203,                0.48176,                0.89651,                0.99191,                0.97688,                0.99191,                0.91888,                0.39826,                0.49041,                0.79511,               0.001604,               0.001604,               0.001604
                     23,                0.50195,                0.51185,                  0.905,                 0.9549,                0.98844,                0.99213,                0.90895,                0.42021,                0.48656,                0.81545,              0.0015842,              0.0015842,              0.0015842
                     24,                0.47974,                0.47526,                0.88769,                 0.9853,                0.96865,                0.99359,                0.93533,                0.37843,                0.41573,                0.77616,              0.0015644,              0.0015644,              0.0015644
                     25,                0.49372,                 0.4857,                0.89881,                0.97537,                0.98844,                0.99448,                0.93151,                0.38296,                0.42144,                0.77802,              0.0015446,              0.0015446,              0.0015446
                     26,                 0.4697,                0.46443,                0.89354,                0.97677,                0.97233,                0.99263,                0.91027,                0.40288,                0.43604,                0.77955,              0.0015248,              0.0015248,              0.0015248
                     27,                0.44774,                0.45199,                0.88284,                0.99275,                0.98555,                0.99457,                0.92753,                0.37894,                0.40488,                0.77675,               0.001505,               0.001505,               0.001505
                     28,                 0.4633,                0.44737,                0.88475,                0.92392,                0.94769,                0.97252,                0.88759,                0.42056,                0.51438,                0.79738,              0.0014852,              0.0014852,              0.0014852
                     29,                0.44728,                0.44155,                0.87768,                0.96317,                0.96243,                0.99071,                0.92122,                0.36146,                0.42044,                 0.7721,              0.0014654,              0.0014654,              0.0014654
                     30,                0.45652,                0.43694,                0.88663,                0.99282,                0.98844,                0.99485,                0.92854,                 0.3771,                0.38836,                0.77533,              0.0014456,              0.0014456,              0.0014456
                     31,                0.43349,                0.40821,                0.87995,                0.99131,                0.98942,                0.99488,                 0.9431,                0.36428,                0.38538,                 0.7721,              0.0014258,              0.0014258,              0.0014258
                     32,                0.46607,                0.42864,                0.88358,                0.99133,                0.99126,                0.99485,                0.95323,                0.33384,                0.35995,                0.76106,               0.001406,               0.001406,               0.001406
                     33,                0.45706,                0.42099,                0.87339,                0.99362,                0.98266,                 0.9948,                0.93786,                0.37077,                0.42241,                0.76969,              0.0013862,              0.0013862,              0.0013862
                     34,                0.45248,                0.41384,                0.87268,                0.98804,                0.98555,                0.99468,                0.94936,                0.34579,                0.40085,                0.76145,              0.0013664,              0.0013664,              0.0013664
                     35,                0.43697,                0.40854,                0.87541,                0.98879,                0.97977,                0.99463,                0.95913,                0.33702,                0.37278,                0.75937,              0.0013466,              0.0013466,              0.0013466
                     36,                0.41503,                0.39745,                0.87064,                0.99776,                0.97977,                0.99457,                0.91264,                0.39022,                0.38905,                0.77305,              0.0013268,              0.0013268,              0.0013268
                     37,                0.43267,                0.39533,                0.88217,                0.99715,                0.98844,                0.99494,                0.91773,                0.38866,                0.34346,                 0.7754,               0.001307,               0.001307,               0.001307
                     38,                0.43004,                0.38559,                0.88474,                 0.9985,                0.98555,                0.99494,                0.95557,                0.32003,                0.31804,                0.75725,              0.0012872,              0.0012872,              0.0012872
                     39,                0.45118,                 0.4017,                0.88373,                0.99709,                0.98929,                0.99497,                0.95097,                0.32419,                0.31878,                0.75775,              0.0012674,              0.0012674,              0.0012674
                     40,                0.46261,                0.40394,                0.88714,                 0.9942,                0.99012,                0.99488,                0.93744,                0.35833,                0.35078,                0.76618,              0.0012476,              0.0012476,              0.0012476
                     41,                0.42732,                0.38435,                0.87138,                      1,                0.98452,                0.99486,                0.93877,                0.35899,                0.33491,                0.76899,              0.0012278,              0.0012278,              0.0012278
                     42,                0.39698,                0.37073,                0.85959,                 0.9942,                0.99022,                0.99477,                0.94878,                0.32312,                0.30975,                0.76284,               0.001208,               0.001208,               0.001208
                     43,                0.38857,                0.36763,                0.87204,                0.98847,                0.99135,                 0.9945,                0.95425,                0.30946,                0.31064,                0.75936,              0.0011882,              0.0011882,              0.0011882
                     44,                0.39707,                0.36269,                0.86786,                0.99522,                0.98555,                0.99486,                0.94888,                0.31046,                0.29624,                0.75695,              0.0011684,              0.0011684,              0.0011684
                     45,                0.38808,                0.35788,                0.87302,                 0.9913,                0.98825,                 0.9942,                0.95719,                0.29444,                0.28135,                0.74949,              0.0011486,              0.0011486,              0.0011486
                     46,                0.37748,                0.33946,                 0.8703,                0.99618,                0.98555,                0.99443,                0.95069,                0.31218,                0.29683,                0.75243,              0.0011288,              0.0011288,              0.0011288
                     47,                0.39904,                0.36049,                0.85871,                0.99601,                0.98555,                0.99462,                0.95617,                0.30332,                0.29061,                0.75181,               0.001109,               0.001109,               0.001109
                     48,                0.39806,                0.34462,                0.86779,                0.99135,                 0.9935,                0.99494,                0.95817,                0.29812,                0.29205,                0.74999,              0.0010892,              0.0010892,              0.0010892
                     49,                 0.3835,                0.34126,                0.85471,                0.99968,                0.98844,                0.99488,                0.95573,                0.30554,                0.28182,                0.75534,              0.0010694,              0.0010694,              0.0010694
                     50,                0.37561,                 0.3325,                0.85881,                      1,                 0.9879,                0.99483,                0.95988,                0.28262,                0.27027,                0.75308,              0.0010496,              0.0010496,              0.0010496
                     51,                0.37025,                0.32199,                0.85101,                      1,                0.98713,                0.99486,                0.96466,                0.28349,                0.26866,                0.75335,              0.0010298,              0.0010298,              0.0010298
                     52,                  0.392,                0.33646,                0.86432,                0.99791,                0.98844,                0.99491,                0.96437,                 0.2828,                0.25867,                 0.7489,                0.00101,                0.00101,                0.00101
                     53,                0.37244,                0.32394,                0.86616,                0.99789,                0.98844,                0.99488,                0.96099,                0.28924,                0.25638,                0.75104,              0.0009902,              0.0009902,              0.0009902
                     54,                0.37427,                0.34396,                0.85552,                0.99789,                0.98844,                0.99486,                 0.9595,                0.29914,                0.25835,                0.75187,              0.0009704,              0.0009704,              0.0009704
                     55,                0.37932,                0.32828,                0.85538,                0.98559,                0.98839,                 0.9943,                0.94846,                0.32255,                0.27431,                0.75838,              0.0009506,              0.0009506,              0.0009506
                     56,                0.38365,                0.32854,                0.86703,                0.99277,                0.97977,                0.99468,                0.95799,                0.30404,                0.28831,                0.75773,              0.0009308,              0.0009308,              0.0009308
                     57,                0.39105,                0.33262,                0.86599,                0.99845,                0.97977,                0.99469,                0.96321,                0.28813,                0.28225,                  0.761,               0.000911,               0.000911,               0.000911
                     58,                0.37782,                0.33014,                0.87397,                      1,                0.98669,                0.99486,                0.96518,                0.28368,                0.26965,                0.75797,              0.0008912,              0.0008912,              0.0008912
                     59,                0.35763,                0.31603,                  0.848,                0.99708,                0.98604,                0.99489,                0.96551,                0.27758,                0.25822,                0.75341,              0.0008714,              0.0008714,              0.0008714
                     60,                0.34918,                0.31006,                0.84843,                 0.9929,                0.99133,                0.99494,                0.96156,                0.28752,                0.25434,                0.75615,              0.0008516,              0.0008516,              0.0008516
                     61,                0.34606,                0.30123,                0.85251,                      1,                0.98704,                0.99488,                0.96449,                0.27822,                0.25035,                0.75592,              0.0008318,              0.0008318,              0.0008318
                     62,                0.36929,                0.31609,                0.85394,                      1,                0.98536,                 0.9948,                0.96771,                0.28031,                0.24974,                0.75307,               0.000812,               0.000812,               0.000812
                     63,                 0.3439,                0.30225,                0.85144,                0.99708,                0.98579,                0.99491,                0.97318,                0.26758,                0.24078,                0.74707,              0.0007922,              0.0007922,              0.0007922
                     64,                0.37259,                0.31273,                0.86448,                0.99421,                0.99295,                0.99491,                0.96531,                0.28718,                 0.2471,                0.75059,              0.0007724,              0.0007724,              0.0007724
                     65,                0.36909,                0.31227,                0.85166,                0.98554,                0.99711,                0.99488,                0.96784,                0.29063,                0.25357,                0.75082,              0.0007526,              0.0007526,              0.0007526
                     66,                 0.3513,                0.29788,                0.84818,                0.99558,                0.98844,                0.99488,                 0.9685,                0.26309,                0.24577,                0.74847,              0.0007328,              0.0007328,              0.0007328
                     67,                0.35565,                0.30382,                0.84848,                0.99493,                0.98844,                0.99491,                 0.9642,                0.26579,                0.25174,                0.74801,               0.000713,               0.000713,               0.000713
                     68,                0.35988,                0.30921,                0.86538,                0.99133,                0.99103,                0.99488,                0.96743,                0.27091,                0.25409,                0.74675,              0.0006932,              0.0006932,              0.0006932
                     69,                0.33614,                0.29206,                0.84812,                 0.9942,                0.99077,                0.99491,                0.96925,                0.26819,                0.24667,                0.74871,              0.0006734,              0.0006734,              0.0006734
                     70,                0.32548,                0.29239,                0.83933,                0.99136,                0.99533,                0.99494,                0.97079,                0.26435,                0.23822,                0.74841,              0.0006536,              0.0006536,              0.0006536
                     71,                0.34276,                 0.2941,                0.86786,                0.99138,                0.99693,                0.99494,                0.97521,                0.26717,                0.23177,                0.74827,              0.0006338,              0.0006338,              0.0006338
                     72,                0.33045,                0.28402,                0.85235,                 0.9942,                0.99086,                0.99488,                0.97185,                0.26624,                0.22961,                0.74689,               0.000614,               0.000614,               0.000614
                     73,                0.33273,                0.29843,                0.86414,                0.99137,                0.99653,                0.99491,                0.97483,                0.25091,                0.22117,                0.74499,              0.0005942,              0.0005942,              0.0005942
                     74,                0.32115,                0.28154,                0.84148,                0.98775,                0.99711,                0.99491,                0.97889,                0.24828,                0.22142,                0.74337,              0.0005744,              0.0005744,              0.0005744
                     75,                0.32822,                0.27761,                0.84043,                0.99422,                0.99419,                0.99491,                0.97793,                0.23973,                0.21341,                0.74265,              0.0005546,              0.0005546,              0.0005546
                     76,                 0.3197,                0.28553,                0.84676,                0.99424,                0.99704,                0.99494,                0.96917,                0.26251,                0.22028,                 0.7459,              0.0005348,              0.0005348,              0.0005348
                     77,                0.32171,                0.27958,                0.83388,                0.99191,                0.99422,                0.99494,                0.97556,                0.24487,                0.21444,                0.74162,               0.000515,               0.000515,               0.000515
                     78,                0.33266,                0.27921,                0.85948,                 0.9914,                0.99927,                0.99497,                0.97543,                0.23599,                0.20756,                0.74099,              0.0004952,              0.0004952,              0.0004952
                     79,                 0.3322,                0.28731,                0.86945,                0.99408,                0.99711,                  0.995,                0.97401,                0.25492,                0.21841,                0.74658,              0.0004754,              0.0004754,              0.0004754
                     80,                0.33207,                0.28245,                0.86396,                0.99921,                0.99422,                  0.995,                0.97546,                0.25174,                0.21606,                0.74289,              0.0004556,              0.0004556,              0.0004556
                     81,                0.32385,                0.28005,                0.85279,                      1,                0.99417,                  0.995,                0.97121,                0.25768,                0.21219,                0.74354,              0.0004358,              0.0004358,              0.0004358
                     82,                0.29757,                0.25945,                0.84612,                      1,                0.99375,                  0.995,                0.97356,                0.25026,                0.20814,                0.74143,               0.000416,               0.000416,               0.000416
                     83,                0.30261,                0.25643,                0.84608,                 0.9914,                0.99987,                  0.995,                0.97793,                0.23718,                0.20694,                0.73948,              0.0003962,              0.0003962,              0.0003962
                     84,                0.30603,                0.26362,                0.84494,                 0.9914,                0.99957,                0.99497,                0.97684,                 0.2305,                0.19958,                0.73903,              0.0003764,              0.0003764,              0.0003764
                     85,                0.29766,                0.25966,                0.84231,                0.99611,                0.99711,                0.99491,                0.97777,                0.22954,                0.19906,                0.73805,              0.0003566,              0.0003566,              0.0003566
                     86,                0.30962,                0.26821,                0.85884,                0.99594,                0.99711,                0.99488,                0.97973,                0.21936,                0.19599,                0.73755,              0.0003368,              0.0003368,              0.0003368
                     87,                0.28474,                0.24631,                0.84001,                 0.9957,                0.99711,                0.99488,                0.97789,                0.22186,                0.19799,                0.73837,               0.000317,               0.000317,               0.000317
                     88,                0.30158,                0.25259,                0.84671,                0.99591,                0.99711,                0.99491,                 0.9788,                0.21745,                0.19635,                0.73767,              0.0002972,              0.0002972,              0.0002972
                     89,                0.28492,                0.25205,                 0.8341,                 0.9969,                0.99711,                0.99494,                0.97864,                0.21628,                0.19134,                0.73642,              0.0002774,              0.0002774,              0.0002774
                     90,                0.28615,                0.24786,                0.83595,                 0.9914,                 0.9994,                0.99494,                0.98175,                0.21044,                0.19118,                0.73461,              0.0002576,              0.0002576,              0.0002576
                     91,                0.28663,                0.29284,                0.81504,                0.99588,                0.99422,                0.99494,                0.97636,                  0.219,                0.19544,                0.73566,              0.0002378,              0.0002378,              0.0002378
                     92,                0.27815,                0.24828,                0.82244,                0.99361,                0.99422,                0.99494,                0.97887,                0.22068,                0.19998,                0.73528,               0.000218,               0.000218,               0.000218
                     93,                0.25996,                0.23464,                0.81294,                0.99383,                0.99422,                0.99491,                0.97968,                0.21009,                0.20115,                0.73506,              0.0001982,              0.0001982,              0.0001982
                     94,                0.26038,                0.25181,                 0.8164,                0.99388,                0.99422,                0.99491,                0.97983,                0.20831,                0.20007,                0.73575,              0.0001784,              0.0001784,              0.0001784
                     95,                0.25842,                0.24016,                0.80057,                0.99388,                0.99422,                0.99491,                0.97843,                0.20817,                0.19406,                0.73637,              0.0001586,              0.0001586,              0.0001586
                     96,                 0.2634,                0.23567,                 0.8008,                0.99386,                0.99422,                0.99491,                0.98057,                0.21096,                0.18818,                0.73605,              0.0001388,              0.0001388,              0.0001388
                     97,                0.25061,                0.22715,                0.81853,                0.99377,                0.99422,                0.99491,                0.98191,                0.21021,                0.18514,                0.73539,               0.000119,               0.000119,               0.000119
                     98,                0.26351,                0.23318,                0.82268,                0.99355,                0.99422,                0.99491,                0.98201,                0.20566,                 0.1818,                0.73434,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.24982,                0.22675,                  0.816,                0.99413,                0.99422,                0.99494,                0.98222,                0.20521,                0.18155,                0.73377,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.25205,                 0.2309,                 0.8283,                 0.9971,                0.99298,                0.99494,                0.98225,                0.20525,                0.18066,                0.73358,               5.96e-05,               5.96e-05,               5.96e-05
