                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93753,                 3.2349,                 1.1416,                0.02133,                      1,                0.04734,                0.03284,                0.46868,                 3.0184,                 0.8686,                  6e-05,                  6e-05,                  6e-05
                      2,                 0.7245,                 2.7408,                0.97545,                0.02133,                      1,                0.26118,                0.21767,                0.52257,                 2.8829,                0.84525,             0.00013861,             0.00013861,             0.00013861
                      3,                0.71488,                 1.9135,                0.91933,                      1,                0.28003,                0.69075,                0.49727,                 0.6537,                 2.3833,                0.84705,             0.00021564,             0.00021564,             0.00021564
                      4,                0.65248,                 1.0104,                0.88018,                0.86421,                0.79579,                0.89595,                0.71599,                0.64839,                  1.437,                0.82567,             0.00029109,             0.00029109,             0.00029109
                      5,                0.64783,                0.88274,                0.90677,                 0.9879,                0.71875,                0.92824,                0.76781,                0.52409,                 1.3875,                 0.8004,             0.00036495,             0.00036495,             0.00036495
                      6,                0.56023,                0.77532,                0.86605,                      1,                0.82433,                0.97963,                0.85598,                0.50895,                 1.3816,                0.80484,             0.00043723,             0.00043723,             0.00043723
                      7,                0.56313,                0.77859,                0.86325,                0.96415,                0.96875,                0.99324,                0.88319,                0.50198,                 1.3589,                0.80736,             0.00050792,             0.00050792,             0.00050792
                      8,                0.54302,                0.75926,                0.89366,                0.96784,                0.94069,                0.99318,                0.83382,                0.58518,                 1.4183,                0.82928,             0.00057703,             0.00057703,             0.00057703
                      9,                0.54827,                0.73297,                0.86737,                0.97105,                 0.9375,                0.99318,                0.87566,                0.50355,                 1.4269,                0.81688,             0.00064456,             0.00064456,             0.00064456
                     10,                0.59681,                0.68806,                0.91294,                      1,                0.96473,                0.99243,                0.88564,                0.48935,                 1.3413,                0.80881,              0.0007105,              0.0007105,              0.0007105
                     11,                0.59206,                0.64246,                0.88089,                      1,                0.93469,                 0.9923,                0.90308,                0.46805,                  1.125,                0.80482,             0.00077486,             0.00077486,             0.00077486
                     12,                0.61668,                0.68386,                0.88576,                0.96769,                0.93587,                0.99042,                 0.8406,                0.61395,                 1.2087,                0.83984,             0.00083763,             0.00083763,             0.00083763
                     13,                0.56463,                0.64764,                0.88079,                      1,                0.93054,                0.99409,                0.85459,                0.56632,                 1.1095,                0.83246,             0.00089882,             0.00089882,             0.00089882
                     14,                0.50639,                0.61731,                0.85984,                      1,                 0.9595,                  0.995,                0.87809,                0.52406,                 1.0739,                0.82922,             0.00095843,             0.00095843,             0.00095843
                     15,                0.53296,                 0.6044,                0.86455,                      1,                0.92754,                0.97977,                0.85982,                0.53436,                 1.2368,                0.82739,              0.0010165,              0.0010165,              0.0010165
                     16,                0.52456,                0.58487,                0.85958,                      1,                0.94546,                0.98155,                  0.887,                 0.5184,                 1.1281,                0.82481,              0.0010729,              0.0010729,              0.0010729
                     17,                0.54113,                0.61065,                0.84962,                0.96828,                0.95406,                 0.9923,                0.88967,                0.48825,                0.93288,                0.81735,              0.0011277,              0.0011277,              0.0011277
                     18,                0.54283,                0.61457,                0.89115,                0.96965,                 0.9985,                0.99409,                 0.8848,                0.51432,                0.64215,                 0.8389,               0.001181,               0.001181,               0.001181
                     19,                0.50795,                0.53195,                0.86908,                 0.9696,                0.99695,                0.99409,                0.89773,                 0.5049,                0.64119,                0.83414,              0.0012327,              0.0012327,              0.0012327
